,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
26033,KAE,seaplane_base,Kake Seaplane Base,,,US,US-AK,Kake,,KAE,KAE,"56.973, -133.945999"
26036,KAEL,small_airport,Albert Lea Municipal Airport,1260.0,,US,US-MN,Albert Lea,KAEL,AEL,AEL,"43.68149948, -93.36720276"
26037,KAEX,medium_airport,Alexandria International Airport,89.0,,US,US-LA,Alexandria,KAEX,AEX,AEX,"31.32740020751953, -92.54979705810547"
26038,KAF,small_airport,Karato Airport,109.0,OC,PG,PG-NSB,Karato,,KAF,KRT,"-6.2655, 155.3052"
26039,KAFF,small_airport,USAF Academy Airfield,6572.0,,US,US-CO,Colorado Springs,KAFF,AFF,AFF,"38.96969986, -104.8130035"
26040,KAFJ,small_airport,Washington County Airport,1184.0,,US,US-PA,Washington,KAFJ,WSG,AFJ,"40.1365013123, -80.29019927979999"
26042,KAFN,small_airport,Jaffrey Airport Silver Ranch Airport,1040.0,,US,US-NH,Jaffrey,KAFN,AFN,AFN,"42.805099487300005, -72.0029983521"
26043,KAFO,small_airport,Afton Municipal Airport,6221.0,,US,US-WY,Afton,KAFO,AFO,AFO,"42.7112007141, -110.942001343"
26045,KAFW,large_airport,Fort Worth Alliance Airport,722.0,,US,US-TX,Fort Worth,KAFW,AFW,AFW,"32.9875984192, -97.31880187990001"
26046,KAGC,medium_airport,Allegheny County Airport,1252.0,,US,US-PA,Pittsburgh,KAGC,AGC,AGC,"40.354400634765625, -79.9301986694336"
26047,KAGO,small_airport,Ralph C Weiser Field,319.0,,US,US-AR,Magnolia,KAGO,AGO,AGO,"33.228001, -93.217002"
26049,KAGS,large_airport,Augusta Regional At Bush Field,144.0,,US,US-GA,Augusta,KAGS,AGS,AGS,"33.36989974975586, -81.9645004272461"
26051,KAHC,small_airport,Amedee Army Air Field,4012.0,,US,US-CA,Herlong,KAHC,AHC,AHC,"40.26620102, -120.1529999"
26052,KAHH,small_airport,Amery Municipal Airport,1088.0,,US,US-WI,Amery,KAHH,AHH,AHH,"45.2811012268, -92.37539672850001"
26053,KAHN,medium_airport,Athens Ben Epps Airport,808.0,,US,US-GA,Athens,KAHN,AHN,AHN,"33.94860076904297, -83.32630157470703"
26055,KAIA,small_airport,Alliance Municipal Airport,3931.0,,US,US-NE,Alliance,KAIA,AIA,AIA,"42.0531997681, -102.804000854"
26057,KAID,small_airport,Anderson Municipal Darlington Field,919.0,,US,US-IN,Anderson,KAID,AID,AID,"40.10860061649999, -85.6129989624"
26059,KAIK,small_airport,Aiken Regional Airport,528.0,,US,US-SC,Aiken,KAIK,AIK,AIK,"33.649399, -81.684998"
26060,KAIO,small_airport,Atlantic Municipal Airport,1165.0,,US,US-IA,Atlantic,KAIO,AIO,AIO,"41.40729904, -95.04689789"
26062,KAIV,small_airport,George Downer Airport,150.0,,US,US-AL,Aliceville,KAIV,AIV,AIV,"33.106499, -88.1978"
26063,KAIY,closed,Atlantic City Municipal Bader Field,8.0,,US,US-NJ,Atlantic City,KAIY,AIY,AIY,"39.3600006104, -74.4561004639"
26064,KAIZ,small_airport,Lee C Fine Memorial Airport,869.0,,US,US-MO,Kaiser Lake Ozark,KAIZ,AIZ,AIZ,"38.0960006714, -92.54949951170002"
26071,KAKO,small_airport,Colorado Plains Regional Airport,4714.0,,US,US-CO,Akron,KAKO,AKO,AKO,"40.1755981445, -103.222000122"
26073,KAKR,medium_airport,Akron Fulton International Airport,1067.0,,US,US-OH,Akron,KAKR,AKC,AKR,"41.0374984741, -81.4669036865"
26074,KALB,medium_airport,Albany International Airport,285.0,,US,US-NY,Albany,KALB,ALB,ALB,"42.74829864501953, -73.80169677734375"
26075,KALI,medium_airport,Alice International Airport,178.0,,US,US-TX,Alice,KALI,ALI,ALI,"27.740900039699998, -98.02690124510002"
26076,KALM,medium_airport,Alamogordo White Sands Regional Airport,4200.0,,US,US-NM,Alamogordo,KALM,ALM,ALM,"32.8399009705, -105.990997314"
26077,KALN,medium_airport,St Louis Regional Airport,544.0,,US,US-IL,Alton/St Louis,KALN,ALN,ALN,"38.89030075069999, -90.0459976196"
26078,KALO,medium_airport,Waterloo Regional Airport,873.0,,US,US-IA,Waterloo,KALO,ALO,ALO,"42.557098388671875, -92.40029907226562"
26079,KALS,medium_airport,San Luis Valley Regional Bergman Field,7539.0,,US,US-CO,Alamosa,KALS,ALS,ALS,"37.434898, -105.866997"
26080,KALW,medium_airport,Walla Walla Regional Airport,1194.0,,US,US-WA,Walla Walla,KALW,ALW,ALW,"46.09489822, -118.288002"
26081,KALX,small_airport,Thomas C Russell Field,686.0,,US,US-AL,Alexander City,KALX,ALX,ALX,"32.914699554399995, -85.9629974365"
26082,KAMA,large_airport,Rick Husband Amarillo International Airport,3607.0,,US,US-TX,Amarillo,KAMA,AMA,AMA,"35.219398, -101.706001"
26084,KAMN,small_airport,Gratiot Community Airport,754.0,,US,US-MI,Alma,KAMN,AMN,AMN,"43.322101593, -84.68800354"
26086,KAMW,small_airport,Ames Municipal Airport,956.0,,US,US-IA,Ames,KAMW,AMW,AMW,"41.992001, -93.621803"
26087,KANB,medium_airport,Anniston Regional Airport,612.0,,US,US-AL,Anniston,KANB,ANB,ANB,"33.5882, -85.8581"
26088,KAND,medium_airport,Anderson Regional Airport,782.0,,US,US-SC,Anderson,KAND,AND,AND,"34.4945983887, -82.70939636230001"
26091,KANK,small_airport,Harriet Alexander Field,7523.0,,US,US-CO,Salida,KANK,SLT,ANK,"38.538299560547, -106.04900360107"
26092,KANP,small_airport,Lee Airport,34.0,,US,US-MD,Annapolis,KANP,ANP,ANP,"38.942902, -76.568398"
26093,KANQ,small_airport,Tri State Steuben County Airport,995.0,,US,US-IN,Angola,KANQ,ANQ,ANQ,"41.639702, -85.083504"
26094,KANW,small_airport,Ainsworth Regional Airport,2589.0,,US,US-NE,Ainsworth,KANW,ANW,ANW,"42.579201, -99.992995"
26095,KANY,small_airport,Anthony Municipal Airport,1340.0,,US,US-KS,Anthony,KANY,ANY,ANY,"37.158501, -98.079597"
26097,KAOH,small_airport,Lima Allen County Airport,975.0,,US,US-OH,Lima,KAOH,AOH,AOH,"40.706902, -84.026703"
26098,KAOO,medium_airport,Altoona Blair County Airport,1503.0,,US,US-PA,Altoona,KAOO,AOO,AOO,"40.29639816, -78.31999969"
26100,KAPA,medium_airport,Centennial Airport,5885.0,,US,US-CO,Denver,KAPA,APA,APA,"39.57009888, -104.848999"
26101,KAPC,small_airport,Napa County Airport,35.0,,US,US-CA,Napa,KAPC,APC,APC,"38.2132, -122.280998"
26102,KAPF,medium_airport,Naples Municipal Airport,8.0,,US,US-FL,Naples,KAPF,APF,APF,"26.1525993347, -81.7752990723"
26103,KAPG,medium_airport,Phillips Army Air Field,57.0,,US,US-MD,Aberdeen Proving Grounds(Aberdeen),KAPG,APG,APG,"39.466202, -76.1688"
26104,KAPH,small_airport,A P Hill AAF (Fort A P Hill) Airport,220.0,,US,US-VA,Fort A. P. Hill,KAPH,APH,APH,"38.068902, -77.318298"
26105,KAPN,medium_airport,Alpena County Regional Airport,690.0,,US,US-MI,Alpena,KAPN,APN,APN,"45.0780983, -83.56030273"
26106,KAPT,small_airport,Marion County Brown Field,641.0,,US,US-TN,Jasper,KAPT,APT,APT,"35.060699, -85.585297"
26107,KAPV,small_airport,Apple Valley Airport,3062.0,,US,US-CA,Apple Valley,KAPV,APV,APV,"34.575298309299995, -117.185997009"
26109,KAQ,small_airport,Kamulai Airport,5800.0,OC,PG,PG-CPM,Kamulai Mission,AYKH,KAQ,KML,"-8.150694444440001, 146.834"
26114,KARA,medium_airport,Acadiana Regional Airport,24.0,,US,US-LA,New Iberia,KARA,ARA,ARA,"30.0378, -91.883904"
26115,KARB,small_airport,Ann Arbor Municipal Airport,839.0,,US,US-MI,Ann Arbor,KARB,ARB,ARB,"42.2229995728, -83.74559783939999"
26116,KARG,small_airport,Walnut Ridge Regional Airport,279.0,,US,US-AR,Walnut Ridge,KARG,ARG,ARG,"36.124667, -90.925111"
26117,KARM,small_airport,Wharton Regional Airport,100.0,,US,US-TX,Wharton,KARM,WHT,ARM,"29.254299163800003, -96.1544036865"
26118,KARR,small_airport,Aurora Municipal Airport,712.0,,US,US-IL,Chicago/Aurora,KARR,AUZ,ARR,"41.771900177, -88.47570037839999"
26119,KART,medium_airport,Watertown International Airport,325.0,,US,US-NY,Watertown,KART,ART,ART,"43.99190139770508, -76.02169799804688"
26120,KARV,small_airport,Lakeland-Noble F. Lee Memorial field,1629.0,,US,US-WI,Minocqua-Woodruff,KARV,ARV,ARV,"45.92789841, -89.73090363"
26121,KARW,small_airport,Beaufort County Airport,10.0,,US,US-SC,Beaufort,KARW,BFT,ARW,"32.4122009277, -80.6343994141"
26123,KASE,medium_airport,Aspen-Pitkin Co/Sardy Field,7820.0,,US,US-CO,Aspen,KASE,ASE,ASE,"39.22320175, -106.8690033"
26124,KASG,small_airport,Springdale Municipal Airport,1353.0,,US,US-AR,Springdale,KASG,SPZ,ASG,"36.176399231, -94.1193008423"
26125,KASH,small_airport,Boire Field,199.0,,US,US-NH,Nashua,KASH,ASH,ASH,"42.7817001343, -71.51480102539999"
26127,KASL,small_airport,Harrison County Airport,357.0,,US,US-TX,Marshall,KASL,ASL,ASL,"32.5205001831, -94.307800293"
26128,KASN,small_airport,Talladega Municipal Airport,529.0,,US,US-AL,Talladega,KASN,ASN,ASN,"33.569900512699995, -86.05090332030001"
26129,KAST,medium_airport,Astoria Regional Airport,15.0,,US,US-OR,Astoria,KAST,AST,AST,"46.158000946, -123.878997803"
26131,KASX,small_airport,John F Kennedy Memorial Airport,827.0,,US,US-WI,Ashland,KASX,ASX,ASX,"46.54850006, -90.91899872"
26132,KASY,small_airport,Ashley Municipal Airport,2032.0,,US,US-ND,Ashley,KASY,ASY,ASY,"46.0238990784, -99.3526000977"
26134,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL,"33.6367, -84.428101"
26135,KATS,small_airport,Artesia Municipal Airport,3541.0,,US,US-NM,Artesia,KATS,ATS,ATS,"32.8525009155, -104.468002319"
26136,KATW,small_airport,Appleton International Airport,918.0,,US,US-WI,Appleton,KATW,ATW,ATW,"44.258098602299995, -88.5190963745"
26137,KATY,medium_airport,Watertown Regional Airport,1749.0,,US,US-SD,Watertown,KATY,ATY,ATY,"44.91400146, -97.15470123"
26138,KAUG,medium_airport,Augusta State Airport,352.0,,US,US-ME,Augusta,KAUG,AUG,AUG,"44.320598602299995, -69.7973022461"
26140,KAUM,small_airport,Austin Municipal Airport,1234.0,,US,US-MN,Austin,KAUM,AUM,AUM,"43.66500092, -92.93340302"
26141,KAUN,small_airport,Auburn Municipal Airport,1539.0,,US,US-CA,Auburn,KAUN,AUN,AUN,"38.95479965, -121.0820007"
26142,KAUO,small_airport,Auburn University Regional Airport,777.0,,US,US-AL,Auburn,KAUO,AUO,AUO,"32.615101, -85.433998"
26143,KAUS,large_airport,Austin Bergstrom International Airport,542.0,,US,US-TX,Austin,KAUS,AUS,AUS,"30.194499969482422, -97.6698989868164"
26144,KAUW,medium_airport,Wausau Downtown Airport,1201.0,,US,US-WI,Wausau,KAUW,AUW,AUW,"44.9262008667, -89.6266021729"
26147,KAVL,large_airport,Asheville Regional Airport,2165.0,,US,US-NC,Asheville,KAVL,AVL,AVL,"35.43619918823242, -82.54180145263672"
26148,KAVO,small_airport,Avon Park Executive Airport,160.0,,US,US-FL,Avon Park,KAVO,AVO,AVO,"27.59119987, -81.52780151"
26149,KAVP,medium_airport,Wilkes Barre Scranton International Airport,962.0,,US,US-PA,Wilkes-Barre/Scranton,KAVP,AVP,AVP,"41.338500976599995, -75.72339630130001"
26150,KAVQ,small_airport,Marana Regional Airport,2031.0,,US,US-AZ,Tucson,KAVQ,AVW,AVQ,"32.4095993042, -111.218002319"
26151,KAVX,small_airport,Catalina Airport,1602.0,,US,US-CA,Avalon,KAVX,AVX,AVX,"33.4049, -118.416"
26153,KAWM,small_airport,West Memphis Municipal Airport,212.0,,US,US-AR,West Memphis,KAWM,AWM,AWM,"35.1351013184, -90.2343978882"
26155,KAXA,small_airport,Algona Municipal Airport,1219.0,,US,US-IA,Algona,KAXA,AXG,AXA,"43.0778999329, -94.2720031738"
26157,KAXN,medium_airport,Chandler Field,1425.0,,US,US-MN,Alexandria,KAXN,AXN,AXN,"45.8662986755, -95.39469909670001"
26159,KAXS,small_airport,Altus Quartz Mountain Regional Airport,1433.0,,US,US-OK,Altus,KAXS,AXS,AXS,"34.697952, -99.3385"
26160,KAXV,small_airport,Neil Armstrong Airport,913.0,,US,US-OH,Wapakoneta,KAXV,AXV,AXV,"40.49340057, -84.29889679"
26161,KAXX,small_airport,Angel Fire Airport,8380.0,,US,US-NM,Angel Fire,KAXX,AXX,AXX,"36.422000885, -105.290000916"
26162,KAYE,closed,Ft Devens Moore Army Air Field,269.0,,US,US-MA,,KAYE,AYE,,"42.56999969482422, -71.60279846191406"
26163,KAYS,small_airport,Waycross Ware County Airport,142.0,,US,US-GA,Waycross,KAYS,AYS,AYS,"31.2490997314, -82.39550018310001"
26164,KAYX,small_airport,Arnold Air Force Base,1067.0,,US,US-TN,Tullahoma,KAYX,TUH,AYX,"35.39260101, -86.08580017"
26167,KAZO,medium_airport,Kalamazoo Battle Creek International Airport,874.0,,US,US-MI,Kalamazoo,KAZO,AZO,AZO,"42.234901428222656, -85.5521011352539"
26171,KBAB,large_airport,Beale Air Force Base,113.0,,US,US-CA,Marysville,KBAB,BAB,BAB,"39.136100769, -121.43699646"
26172,KBAD,large_airport,Barksdale Air Force Base,166.0,,US,US-LA,Bossier City,KBAD,BAD,BAD,"32.5018005371, -93.6626968384"
26173,KBAF,medium_airport,Westfield-Barnes Regional Airport,271.0,,US,US-MA,Westfield/Springfield,KBAF,BAF,BAF,"42.157799, -72.715599"
26174,KBAK,medium_airport,Columbus Municipal Airport,656.0,,US,US-IN,Columbus,KBAK,CLU,BAK,"39.2619018555, -85.8963012695"
26175,KBAM,small_airport,Battle Mountain Airport,4532.0,,US,US-NV,Battle Mountain,KBAM,BAM,BAM,"40.598999023400005, -116.874000549"
26178,KBBB,small_airport,Benson Municipal Airport,1039.0,,US,US-MN,Benson,KBBB,BBB,BBB,"45.331901550299996, -95.6505966187"
26179,KBBD,medium_airport,Curtis Field,1827.0,,US,US-TX,Brady,KBBD,BBD,BBD,"31.1793003082, -99.3238983154"
26180,KBBP,small_airport,Marlboro County Jetport H.E. Avent Field,147.0,,US,US-SC,Bennettsville,KBBP,BTN,BBP,"34.62170029, -79.73439789"
26181,KBBW,small_airport,Broken Bow Municipal Airport,2547.0,,US,US-NE,Broken Bow,KBBW,BBW,BBW,"41.4365005493, -99.6421966553"
26182,KBCB,small_airport,Virginia Tech Montgomery Executive Airport,2132.0,,US,US-VA,Blacksburg,KBCB,BCB,BCB,"37.207599639899996, -80.4077987671"
26183,KBCE,medium_airport,Bryce Canyon Airport,7590.0,,US,US-UT,Bryce Canyon,KBCE,BCE,BCE,"37.706401825, -112.144996643"
26185,KBCT,small_airport,Boca Raton Airport,13.0,,US,US-FL,Boca Raton,KBCT,BCT,BCT,"26.3784999847, -80.1076965332"
26186,KBDE,medium_airport,Baudette International Airport,1086.0,,US,US-MN,Baudette,KBDE,BDE,BDE,"48.7284011841, -94.612197876"
26187,KBDG,small_airport,Blanding Municipal Airport,5868.0,,US,US-UT,Blanding,KBDG,BDG,BDG,"37.58330154, -109.4830017"
26189,KBDL,large_airport,Bradley International Airport,173.0,,US,US-CT,Hartford,KBDL,BDL,BDL,"41.9388999939, -72.68319702149999"
26192,KBDR,medium_airport,Igor I Sikorsky Memorial Airport,9.0,,US,US-CT,Bridgeport,KBDR,BDR,BDR,"41.16350173950195, -73.1261978149414"
26193,KBDU,small_airport,Boulder Municipal Airport,5288.0,,US,US-CO,Boulder,KBDU,WBU,BDU,"40.0393981934, -105.225997925"
26195,KBE,seaplane_base,Bell Island Hot Springs Seaplane Base,,,US,US-AK,Bell Island,KBE,KBE,KBE,"55.9291000366, -131.572006226"
26197,KBEC,small_airport,Beech Factory Airport,1408.0,,US,US-KS,Wichita,KBEC,BEC,BEC,"37.694499969499994, -97.21499633790002"
26198,KBED,medium_airport,Laurence G Hanscom Field,133.0,,US,US-MA,Bedford,KBED,BED,BED,"42.47000122, -71.28900146"
26199,KBEH,small_airport,Southwest Michigan Regional Airport,643.0,,US,US-MI,Benton Harbor,KBEH,BEH,BEH,"42.128601074200006, -86.4284973145"
26201,KBFD,medium_airport,Bradford Regional Airport,2143.0,,US,US-PA,Bradford,KBFD,BFD,BFD,"41.8031005859375, -78.64009857177734"
26203,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,3967.0,,US,US-NE,Scottsbluff,KBFF,BFF,BFF,"41.87400055, -103.5960007"
26204,KBFI,large_airport,Boeing Field King County International Airport,21.0,,US,US-WA,Seattle,KBFI,BFI,BFI,"47.529998779296875, -122.302001953125"
26206,KBFL,medium_airport,Meadows Field,510.0,,US,US-CA,Bakersfield,KBFL,BFL,BFL,"35.43360138, -119.0569992"
26207,KBFM,medium_airport,Mobile Downtown Airport,26.0,,US,US-AL,Mobile,KBFM,BFM,BFM,"30.626800537100003, -88.06809997559999"
26208,KBFR,small_airport,Virgil I Grissom Municipal Airport,727.0,,US,US-IN,Bedford,KBFR,BFR,BFR,"38.84000015, -86.44539642"
26210,KBGD,small_airport,Hutchinson County Airport,3055.0,,US,US-TX,Borger,KBGD,BGD,BGD,"35.700901031499995, -101.393997192"
26211,KBGE,small_airport,Decatur County Industrial Air Park,141.0,,US,US-GA,Bainbridge,KBGE,BGE,BGE,"30.9715004, -84.63739777"
26213,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,1636.0,,US,US-NY,Binghamton,KBGM,BGM,BGM,"42.20869827, -75.97979736"
26214,KBGR,large_airport,Bangor International Airport,192.0,,US,US-ME,Bangor,KBGR,BGR,BGR,"44.80739974975586, -68.8281021118164"
26215,KBHB,medium_airport,Hancock County-Bar Harbor Airport,83.0,,US,US-ME,Bar Harbor,KBHB,BHB,BHB,"44.45000076, -68.3615036"
26218,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,650.0,,US,US-AL,Birmingham,KBHM,BHM,BHM,"33.56290054, -86.75350189"
26219,KBID,small_airport,Block Island State Airport,108.0,,US,US-RI,Block Island,KBID,BID,BID,"41.1680984497, -71.577796936"
26220,KBIE,small_airport,Beatrice Municipal Airport,1324.0,,US,US-NE,Beatrice,KBIE,BIE,BIE,"40.301300048799995, -96.75409698490002"
26221,KBIF,medium_airport,Biggs Army Air Field (Fort Bliss),3946.0,,US,US-TX,Fort Bliss/El Paso,KBIF,BIF,BIF,"31.84950066, -106.3799973"
26222,KBIH,medium_airport,Eastern Sierra Regional Airport,4124.0,,US,US-CA,Bishop,KBIH,BIH,BIH,"37.3731002808, -118.363998413"
26224,KBIL,large_airport,Billings Logan International Airport,3652.0,,US,US-MT,Billings,KBIL,BIL,BIL,"45.807701110839844, -108.54299926757812"
26225,KBIS,medium_airport,Bismarck Municipal Airport,1661.0,,US,US-ND,Bismarck,KBIS,BIS,BIS,"46.772701263427734, -100.74600219726562"
26227,KBIX,medium_airport,Keesler Air Force Base,33.0,,US,US-MS,Biloxi,KBIX,BIX,BIX,"30.4104003906, -88.92440032959999"
26228,KBJC,medium_airport,Rocky Mountain Metropolitan Airport,5673.0,,US,US-CO,Denver,KBJC,BJC,BJC,"39.90879822, -105.1169968"
26229,KBJI,medium_airport,Bemidji Regional Airport,1391.0,,US,US-MN,Bemidji,KBJI,BJI,BJI,"47.50939941, -94.93370056"
26230,KBJJ,small_airport,Wayne County Airport,1136.0,,US,US-OH,Wooster,KBJJ,BJJ,BJJ,"40.874801635699995, -81.88829803470001"
26231,KBKD,small_airport,Stephens County Airport,1284.0,,US,US-TX,Breckenridge,KBKD,BKD,BKD,"32.71900177, -98.89099884030001"
26232,KBKE,medium_airport,Baker City Municipal Airport,3373.0,,US,US-OR,Baker City,KBKE,BKE,BKE,"44.837299346900004, -117.808998108"
26233,KBKF,medium_airport,Buckley Air Force Base,5662.0,,US,US-CO,Aurora,KBKF,BFK,BKF,"39.701698303200004, -104.751998901"
26234,KBKL,medium_airport,Burke Lakefront Airport,583.0,,US,US-OH,Cleveland,KBKL,BKL,BKL,"41.51750183105469, -81.68329620361328"
26237,KBKT,small_airport,Allen C Perkinson Blackstone Army Air Field,439.0,,US,US-VA,Blackstone,KBKT,BKT,BKT,"37.0741996765, -77.9574966431"
26239,KBKW,medium_airport,Raleigh County Memorial Airport,2504.0,,US,US-WV,Beckley,KBKW,BKW,BKW,"37.787300109899995, -81.1241989136"
26240,KBKX,small_airport,Brookings Regional Airport,1648.0,,US,US-SD,Brookings,KBKX,BKX,BKX,"44.304798, -96.816902"
26241,KBLF,medium_airport,Mercer County Airport,2857.0,,US,US-WV,Bluefield,KBLF,BLF,BLF,"37.295799255371094, -81.20770263671875"
26242,KBLH,medium_airport,Blythe Airport,399.0,,US,US-CA,Blythe,KBLH,BLH,BLH,"33.6192016602, -114.717002869"
26243,KBLI,medium_airport,Bellingham International Airport,170.0,,US,US-WA,Bellingham,KBLI,BLI,BLI,"48.79280090332031, -122.53800201416016"
26244,KBLM,small_airport,Monmouth Executive Airport,153.0,,US,US-NJ,Belmar/Farmingdale,KBLM,BLM,BLM,"40.18690109, -74.12490082"
26245,KBLU,small_airport,Blue Canyon Nyack Airport,5284.0,,US,US-CA,Emigrant Gap,KBLU,BLU,BLU,"39.2750015259, -120.709999084"
26246,KBLV,large_airport,Scott AFB/Midamerica Airport,459.0,,US,US-IL,Belleville,KBLV,BLV,BLV,"38.5452, -89.835197"
26247,KBM,small_airport,Kabwum,4450.0,OC,PG,PG-MPL,,AYKB,KBM,KBM,"-6.15547222222, 147.191472222"
26248,KBMC,small_airport,Brigham City Regional Airport,4229.0,,US,US-UT,Brigham City,KBMC,BMC,BMC,"41.552399, -112.061996"
26249,KBMG,medium_airport,Monroe County Airport,846.0,,US,US-IN,Bloomington,KBMG,BMG,BMG,"39.145999908447266, -86.61669921875"
26250,KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,871.0,,US,US-IL,Bloomington/Normal,KBMI,BMI,BMI,"40.47710037, -88.91590118"
26251,KBML,small_airport,Berlin Regional Airport,1161.0,,US,US-NH,Berlin,KBML,BML,BML,"44.57540131, -71.17590332"
26253,KBMT,small_airport,Beaumont Municipal Airport,32.0,,US,US-TX,Beaumont,KBMT,BMT,BMT,"30.0706996918, -94.21579742430002"
26254,KBNA,large_airport,Nashville International Airport,599.0,,US,US-TN,Nashville,KBNA,BNA,BNA,"36.1245002746582, -86.6781997680664"
26255,KBNG,small_airport,Banning Municipal Airport,2219.0,,US,US-CA,Banning,KBNG,BNG,BNG,"33.9230995178, -116.850997925"
26256,KBNL,small_airport,Barnwell Regional Airport,246.0,,US,US-SC,Barnwell,KBNL,BNL,BNL,"33.25780106, -81.38829803"
26257,KBNO,medium_airport,Burns Municipal Airport,4148.0,,US,US-OR,Burns,KBNO,BNO,BNO,"43.5918998718, -118.955001831"
26258,KBNW,small_airport,Boone Municipal Airport,1160.0,,US,US-IA,Boone,KBNW,BNW,BNW,"42.0495986938, -93.8476028442"
26259,KBOI,large_airport,Boise Air Terminal/Gowen Field,2871.0,,US,US-ID,Boise,KBOI,BOI,BOI,"43.5644, -116.223"
26260,KBOS,large_airport,General Edward Lawrence Logan International Airport,20.0,,US,US-MA,Boston,KBOS,BOS,BOS,"42.36429977, -71.00520325"
26261,KBOW,small_airport,Bartow Municipal Airport,125.0,,US,US-FL,Bartow,KBOW,BOW,BOW,"27.943399429299998, -81.78340148930002"
26262,KBPG,small_airport,Big Spring Mc Mahon-Wrinkle Airport,2573.0,,US,US-TX,Big Spring,KBPG,HCA,BPG,"32.212601, -101.522003"
26263,KBPI,medium_airport,Miley Memorial Field,6990.0,,US,US-WY,Big Piney,KBPI,BPI,BPI,"42.58509827, -110.1110001"
26264,KBPK,medium_airport,Ozark Regional Airport,928.0,,US,US-AR,Mountain Home,KBPK,WMH,BPK,"36.3689002991, -92.47049713130001"
26266,KBPT,medium_airport,Southeast Texas Regional Airport,15.0,,US,US-TX,Beaumont/Port Arthur,KBPT,BPT,BPT,"29.9507999420166, -94.02069854736328"
26267,KBQK,medium_airport,Brunswick Golden Isles Airport,26.0,,US,US-GA,Brunswick,KBQK,BQK,BQK,"31.258800506591797, -81.46649932861328"
26270,KBRD,medium_airport,Brainerd Lakes Regional Airport,1232.0,,US,US-MN,Brainerd,KBRD,BRD,BRD,"46.39830017, -94.13809967"
26271,KBRL,medium_airport,Southeast Iowa Regional Airport,698.0,,US,US-IA,Burlington,KBRL,BRL,BRL,"40.783199310302734, -91.12550354003906"
26272,KBRO,medium_airport,Brownsville South Padre Island International Airport,22.0,,US,US-TX,Brownsville,KBRO,BRO,BRO,"25.90679931640625, -97.4259033203125"
26273,KBRY,small_airport,Samuels Field,669.0,,US,US-KY,Bardstown,KBRY,BRY,BRY,"37.8143005371, -85.4996032715"
26276,KBTF,small_airport,Skypark Airport,4234.0,,US,US-UT,Bountiful,KBTF,BTF,BTF,"40.8694000244, -111.927001953"
26277,KBTL,medium_airport,W K Kellogg Airport,952.0,,US,US-MI,Battle Creek,KBTL,BTL,BTL,"42.307300567599995, -85.2515029907"
26278,KBTM,medium_airport,Bert Mooney Airport,5550.0,,US,US-MT,Butte,KBTM,BTM,BTM,"45.95479965209961, -112.49700164794922"
26279,KBTN,small_airport,Britton Municipal Airport,1318.0,,US,US-SD,Britton,KBTN,TTO,BTN,"45.815200805664, -97.743103027344"
26280,KBTP,small_airport,Pittsburgh/Butler Regional Airport,1248.0,,US,US-PA,Butler,KBTP,BTP,BTP,"40.776901, -79.949699"
26281,KBTR,medium_airport,Baton Rouge Metropolitan Airport,70.0,,US,US-LA,Baton Rouge,KBTR,BTR,BTR,"30.533199, -91.149597"
26282,KBTV,medium_airport,Burlington International Airport,335.0,,US,US-VT,Burlington,KBTV,BTV,BTV,"44.471900939899996, -73.15329742429999"
26283,KBTY,small_airport,Beatty Airport,3170.0,,US,US-NV,Beatty,KBTY,BTY,BTY,"36.8610992432, -116.787002563"
26284,KBUB,small_airport,Cram Field,2182.0,,US,US-NE,Burwell,KBUB,BUB,BUB,"41.776699066199996, -99.14969635010002"
26285,KBUF,large_airport,Buffalo Niagara International Airport,728.0,,US,US-NY,Buffalo,KBUF,BUF,BUF,"42.94049835, -78.73220062"
26286,KBUM,small_airport,Butler Memorial Airport,892.0,,US,US-MO,Butler,KBUM,BUM,BUM,"38.2897987366, -94.3401031494"
26287,KBUR,medium_airport,Bob Hope Airport,778.0,,US,US-CA,Burbank,KBUR,BUR,BUR,"34.20069885253906, -118.35900115966797"
26290,KBVI,medium_airport,Beaver County Airport,1253.0,,US,US-PA,Beaver Falls,KBVI,BFP,BVI,"40.7724990845, -80.39140319820001"
26292,KBVO,small_airport,Bartlesville Municipal Airport,711.0,,US,US-OK,Bartlesville,KBVO,BVO,BVO,"36.76250076, -96.01119995"
26293,KBVS,small_airport,Skagit Regional Airport,144.0,,US,US-WA,Burlington/Mount Vernon,KBVS,MVW,BVS,"48.4709014893, -122.42099762"
26294,KBVX,small_airport,Batesville Regional Airport,465.0,,US,US-AR,Batesville,KBVX,BVX,BVX,"35.7262001, -91.64730072"
26295,KBVY,medium_airport,Beverly Municipal Airport,107.0,,US,US-MA,Beverly,KBVY,BVY,BVY,"42.584201812699995, -70.91649627689999"
26296,KBWC,small_airport,Brawley Municipal Airport,-128.0,,US,US-CA,Brawley,KBWC,BWC,BWC,"32.99290085, -115.5169983"
